date,sh.000001,sh.601288,sh.601398,sh.601939,sh.601988
2011-01-04,2852.65000000,2.67000000,4.24000000,4.66000000,3.26000000
2011-01-05,2838.59000000,2.63000000,4.19000000,4.65000000,3.23000000
2011-01-06,2824.20000000,2.61000000,4.16000000,4.58000000,3.22000000
2011-01-07,2838.80000000,2.65000000,4.30000000,4.73000000,3.27000000
2011-01-10,2791.81000000,2.63000000,4.24000000,4.77000000,3.23000000
2011-01-11,2804.05000000,2.63000000,4.26000000,4.84000000,3.25000000
2011-01-12,2821.30000000,2.66000000,4.29000000,4.85000000,3.27000000
2011-01-13,2827.71000000,2.67000000,4.34000000,4.92000000,3.28000000
2011-01-14,2791.34000000,2.65000000,4.35000000,4.91000000,3.25000000
2011-01-17,2706.66000000,2.59000000,4.23000000,4.71000000,3.20000000
2011-01-18,2708.98000000,2.60000000,4.26000000,4.74000000,3.21000000
2011-01-19,2758.10000000,2.61000000,4.23000000,4.77000000,3.21000000
2011-01-20,2677.65000000,2.58000000,4.15000000,4.66000000,3.17000000
2011-01-21,2715.29000000,2.62000000,4.22000000,4.72000000,3.21000000
2011-01-24,2695.72000000,2.59000000,4.19000000,4.67000000,3.20000000
2011-01-25,2677.43000000,2.60000000,4.19000000,4.65000000,3.23000000
2011-01-26,2708.81000000,2.61000000,4.20000000,4.66000000,3.24000000
2011-01-27,2749.15000000,2.62000000,4.24000000,4.71000000,3.25000000
2011-01-28,2752.75000000,2.61000000,4.21000000,4.66000000,
2011-01-31,2790.69000000,2.62000000,4.25000000,4.80000000,3.24000000
2011-02-01,2798.96000000,2.62000000,4.26000000,4.82000000,3.24000000
2011-02-09,2774.06000000,2.60000000,4.24000000,4.81000000,3.22000000
2011-02-10,2818.16000000,2.61000000,4.27000000,4.86000000,3.24000000
2011-02-11,2827.33000000,2.61000000,4.29000000,4.88000000,3.24000000
2011-02-14,2899.13000000,2.68000000,4.37000000,4.95000000,3.29000000
2011-02-15,2899.24000000,2.66000000,4.34000000,4.94000000,3.28000000
2011-02-16,2923.90000000,2.67000000,4.34000000,4.90000000,3.29000000
2011-02-17,2926.96000000,2.67000000,4.33000000,4.90000000,3.29000000
2011-02-18,2899.79000000,2.65000000,4.33000000,4.90000000,3.28000000
2011-02-21,2932.25000000,2.65000000,4.30000000,4.90000000,3.27000000
2011-02-22,2855.52000000,2.60000000,4.23000000,4.85000000,3.24000000
2011-02-23,2862.63000000,2.60000000,4.23000000,4.85000000,3.23000000
2011-02-24,2878.60000000,2.60000000,4.24000000,4.85000000,3.23000000
2011-02-25,2878.56000000,2.61000000,4.27000000,4.88000000,3.24000000
2011-02-28,2905.05000000,2.61000000,4.26000000,4.82000000,3.24000000
2011-03-01,2918.92000000,2.62000000,4.27000000,4.85000000,3.25000000
2011-03-02,2913.81000000,,4.28000000,4.87000000,3.27000000
2011-03-03,2902.98000000,2.67000000,4.30000000,4.94000000,3.30000000
2011-03-04,2942.31000000,2.68000000,4.35000000,4.96000000,3.31000000
2011-03-07,2996.21000000,2.70000000,4.40000000,4.99000000,3.33000000
2011-03-08,2999.94000000,2.70000000,4.41000000,5.00000000,3.34000000
2011-03-09,3002.15000000,2.69000000,4.42000000,4.99000000,3.41000000
2011-03-10,2957.14000000,2.66000000,4.35000000,4.94000000,3.34000000
2011-03-11,2933.80000000,2.64000000,4.30000000,4.90000000,3.31000000
2011-03-14,2937.63000000,2.63000000,4.29000000,4.89000000,3.27000000
2011-03-15,2896.26000000,2.63000000,4.27000000,4.86000000,3.26000000
2011-03-16,2930.80000000,2.64000000,4.31000000,4.89000000,3.27000000
2011-03-17,2897.30000000,2.62000000,4.27000000,4.89000000,3.24000000
2011-03-18,2906.89000000,2.63000000,4.26000000,4.86000000,3.23000000
2011-03-21,2909.14000000,2.65000000,4.34000000,4.89000000,3.24000000
2011-03-22,2919.14000000,2.66000000,4.36000000,4.92000000,3.26000000
2011-03-23,2948.48000000,2.67000000,4.40000000,4.97000000,3.28000000
2011-03-24,2946.71000000,2.68000000,4.41000000,4.99000000,3.29000000
2011-03-25,2977.81000000,2.70000000,4.46000000,5.04000000,3.35000000
2011-03-28,2984.00000000,2.72000000,4.50000000,5.03000000,3.35000000
2011-03-29,2958.08000000,2.74000000,4.51000000,5.02000000,3.34000000
2011-03-30,2955.77000000,2.75000000,4.52000000,5.03000000,3.36000000
2011-03-31,2928.11000000,2.76000000,4.47000000,4.97000000,3.33000000
2011-04-01,2967.41000000,2.79000000,4.50000000,5.01000000,3.37000000
2011-04-06,3001.36000000,2.86000000,4.58000000,5.09000000,3.41000000
2011-04-07,3007.91000000,2.87000000,4.57000000,5.09000000,3.41000000
2011-04-08,3030.02000000,2.86000000,4.55000000,5.10000000,3.40000000
2011-04-11,3022.75000000,2.87000000,4.59000000,5.13000000,3.38000000
2011-04-12,3021.37000000,2.84000000,4.61000000,5.12000000,3.39000000
2011-04-13,3050.40000000,2.90000000,4.63000000,5.17000000,3.43000000
2011-04-14,3042.64000000,2.96000000,4.63000000,5.22000000,3.44000000
2011-04-15,3050.53000000,2.98000000,4.70000000,5.28000000,3.46000000
2011-04-18,3057.33000000,2.98000000,4.67000000,5.34000000,3.46000000
2011-04-19,2999.04000000,2.91000000,4.56000000,5.23000000,3.40000000
